day_pt,tenure,new_members,interval_start_timestamp
2026-06-29T00:00:00+00:00,1 month+,53,2026-06-29T00:00:00+00:00
2026-06-29T00:00:00+00:00,< 1 day,1,2026-06-29T00:00:00+00:00
2026-06-29T00:00:00+00:00,< 1 month,22,2026-06-29T00:00:00+00:00
