day_pt,platform,participators,interval_start_timestamp
2026-07-06T00:00:00+00:00,Desktop Only,0,2026-07-06T00:00:00+00:00
2026-07-06T00:00:00+00:00,Desktop or Mobile,222,2026-07-06T00:00:00+00:00
2026-07-06T00:00:00+00:00,Mobile Only,204,2026-07-06T00:00:00+00:00
2026-07-06T00:00:00+00:00,Other,0,2026-07-06T00:00:00+00:00
