day_pt,tenure,participators,interval_start_timestamp
2026-06-29T00:00:00+00:00,1 - 6 months,190,2026-06-29T00:00:00+00:00
2026-06-29T00:00:00+00:00,1 year+,0,2026-06-29T00:00:00+00:00
2026-06-29T00:00:00+00:00,6 months - 1 year,3,2026-06-29T00:00:00+00:00
2026-06-29T00:00:00+00:00,< 1 month,65,2026-06-29T00:00:00+00:00
