day_pt,tenure,participators,interval_start_timestamp
2026-07-06T00:00:00+00:00,1 - 6 months,185,2026-07-06T00:00:00+00:00
2026-07-06T00:00:00+00:00,1 year+,0,2026-07-06T00:00:00+00:00
2026-07-06T00:00:00+00:00,6 months - 1 year,19,2026-07-06T00:00:00+00:00
2026-07-06T00:00:00+00:00,< 1 month,55,2026-07-06T00:00:00+00:00
