day_pt,new_members,pct_opened_channels,interval_start_timestamp
2026-06-30T00:00:00+00:00,1,100,2026-06-30T00:00:00+00:00
2026-07-01T00:00:00+00:00,2,,2026-07-01T00:00:00+00:00
2026-07-02T00:00:00+00:00,3,,2026-07-02T00:00:00+00:00
2026-07-03T00:00:00+00:00,0,,2026-07-03T00:00:00+00:00
2026-07-04T00:00:00+00:00,2,100,2026-07-04T00:00:00+00:00
2026-07-05T00:00:00+00:00,3,33.33333333333333,2026-07-05T00:00:00+00:00
