day_pt,discovery_joins,invites,vanity_joins,hubs_joins,bot_joins,integration_joins,other_joins,total_joins,interval_start_timestamp
2026-07-13T00:00:00+00:00,0,1,0,0,0,0,0,1,2026-07-13T00:00:00+00:00
2026-07-14T00:00:00+00:00,0,0,0,0,0,0,0,0,2026-07-14T00:00:00+00:00
2026-07-15T00:00:00+00:00,0,0,0,0,0,0,0,0,2026-07-15T00:00:00+00:00
2026-07-16T00:00:00+00:00,0,0,0,0,0,0,0,0,2026-07-16T00:00:00+00:00
2026-07-17T00:00:00+00:00,0,0,0,0,1,0,0,1,2026-07-17T00:00:00+00:00
2026-07-18T00:00:00+00:00,0,0,0,0,0,0,0,0,2026-07-18T00:00:00+00:00
2026-07-19T00:00:00+00:00,0,0,0,0,0,0,0,0,2026-07-19T00:00:00+00:00
