day_pt,total_membership,interval_start_timestamp
2026-07-06T00:00:00+00:00,593,2026-07-06T00:00:00+00:00
2026-07-07T00:00:00+00:00,594,2026-07-07T00:00:00+00:00
2026-07-08T00:00:00+00:00,594,2026-07-08T00:00:00+00:00
2026-07-09T00:00:00+00:00,593,2026-07-09T00:00:00+00:00
2026-07-10T00:00:00+00:00,595,2026-07-10T00:00:00+00:00
2026-07-11T00:00:00+00:00,594,2026-07-11T00:00:00+00:00
2026-07-12T00:00:00+00:00,596,2026-07-12T00:00:00+00:00
