day_pt,total_membership,interval_start_timestamp
2026-06-30T00:00:00+00:00,588,2026-06-30T00:00:00+00:00
2026-07-01T00:00:00+00:00,587,2026-07-01T00:00:00+00:00
2026-07-02T00:00:00+00:00,588,2026-07-02T00:00:00+00:00
2026-07-03T00:00:00+00:00,588,2026-07-03T00:00:00+00:00
2026-07-04T00:00:00+00:00,589,2026-07-04T00:00:00+00:00
2026-07-05T00:00:00+00:00,592,2026-07-05T00:00:00+00:00
